Query,YouTube Link
Kendrick Lamar - Squabble Up,https://www.youtube.com/watch?v=fuV4yQWdn_4
Billie Eilish - Lunch,https://www.youtube.com/watch?v=MB3VkzPdgLA
Rema - Yayo,https://www.youtube.com/watch?v=_XdMFPXLK48
Tyla,https://www.youtube.com/watch?v=uLK2r3sG4lE
Central Cee & Lil Baby - Band4Band,https://www.youtube.com/watch?v=pDddlvCfTiw
Ezra Collective & Yazmin Lacey - God Gave Me Feet for Dancing,https://www.youtube.com/watch?v=5JUjFN9AuFU
The Red Clay Strays - Ramblin’,https://www.youtube.com/watch?v=1fb5SYlXwmo
Fontaines D.C. - Favourite,https://www.youtube.com/watch?v=0a_vpigwDb4
Asake & Travis Scott - Active,https://www.youtube.com/watch?v=JRF_sdTXpGw
Shaboozey - A Bar Song (Tipsy),https://www.youtube.com/watch?v=t7bQwwqW-Hc
Bonny Light Horseman - Old Dutch,https://www.youtube.com/watch?v=s3UlBffDlmk
Rae Khalil - Is It Worth It,https://www.youtube.com/watch?v=5wzkADAkElo
Beyoncé - Texas Hold ‘Em,https://www.youtube.com/watch?v=238Z4YaAr1g
Jordan Adetunji - Kehlani,https://www.youtube.com/watch?v=EeJ8n5PxFGE
Artemas - I Like the Way You Kiss Me,https://www.youtube.com/watch?v=evJ6gX1lp2o
Johnny Blue Skies - Scooter Blues,https://www.youtube.com/watch?v=IpE6OcvAsVk
Hozier - Too Sweet,https://www.youtube.com/watch?v=NTpbbQUBbuo
Leon Bridges - Peaceful Place,https://www.youtube.com/watch?v=LtdrdE6sssg
Tommy Richman - Million Dollar Baby,https://www.youtube.com/watch?v=Zf1d8SGuxfs
Waxahatchee & MJ Lenderman - Right Back to It,https://www.youtube.com/watch?v=DDTwEi1leyI
Myles Smith - Stargazing,https://www.youtube.com/watch?v=tKml80alH3Y
Jack White - That’s How I’m Feeling,https://www.youtube.com/watch?v=A3neCOTqfj8
Moses Sumney - Gold Coast,https://www.youtube.com/watch?v=eyad_QMI0C0
